IP,Port,Degree
127.0.0.1,6057,3
127.0.0.1,6070,5
127.0.0.1,6053,1
127.0.0.1,6063,0
127.0.0.1,6075,1
127.0.0.1,6073,1
127.0.0.1,6067,0
127.0.0.1,6064,1
127.0.0.1,6092,0
127.0.0.1,6086,1
127.0.0.1,6079,0
127.0.0.1,6100,0
127.0.0.1,6102,1
127.0.0.1,6091,1
127.0.0.1,6109,0
127.0.0.1,6105,0
127.0.0.1,6119,0
127.0.0.1,6134,1
127.0.0.1,6118,0
127.0.0.1,6133,0
127.0.0.1,6138,0
127.0.0.1,6131,0
127.0.0.1,6108,0
127.0.0.1,6123,1
127.0.0.1,6128,0
127.0.0.1,6153,0
127.0.0.1,6126,0
127.0.0.1,6175,0
127.0.0.1,6162,0
127.0.0.1,6005,24
127.0.0.1,6006,10
127.0.0.1,6009,16
127.0.0.1,6008,7
127.0.0.1,6011,19
127.0.0.1,6012,5
127.0.0.1,6017,10
127.0.0.1,6019,5
127.0.0.1,6018,2
127.0.0.1,6024,5
127.0.0.1,6026,0
127.0.0.1,6025,7
127.0.0.1,6031,0
127.0.0.1,6028,3
127.0.0.1,6029,6
127.0.0.1,6043,6
127.0.0.1,6040,8
127.0.0.1,6034,3
127.0.0.1,6046,4
127.0.0.1,6037,2
127.0.0.1,6036,4
127.0.0.1,6039,6
127.0.0.1,6051,1
127.0.0.1,6042,2
127.0.0.1,6044,1
127.0.0.1,6052,3
127.0.0.1,6049,6
127.0.0.1,6060,2
127.0.0.1,6061,3
127.0.0.1,6047,4
127.0.0.1,6062,6
127.0.0.1,6059,0
127.0.0.1,6074,1
127.0.0.1,6081,0
127.0.0.1,6065,4
127.0.0.1,6068,3
127.0.0.1,6088,0
127.0.0.1,6076,1
127.0.0.1,6090,1
127.0.0.1,6097,0
127.0.0.1,6098,0
127.0.0.1,6083,0
127.0.0.1,6084,2
127.0.0.1,6077,1
127.0.0.1,6096,1
127.0.0.1,6111,0
127.0.0.1,6112,0
127.0.0.1,6113,0
127.0.0.1,6115,1
